Gene,Ech1_Rep1,Ech1_Rep2,Ech1_Rep3,Ech2_Rep1,Ech2_Rep2,Ech2_Rep3,Ech3_Rep1,Ech3_Rep2,Ech3_Rep3,Ech4_Rep1,Ech4_Rep2,Ech4_Rep3
Foxa2,18.2,18.9,19,20.9,21.3,21.8,22.7,23.4,24.1,31.9,32.3,32.5
Foxa2,17.7,18.4,18.9,20.8,21.4,22.4,22.4,23,24.1,30.6,32,32.6
Foxa2,17.5,18.1,19.1,20.7,21.2,23,22.9,22.6,24.4,31,31.6,33.1
Gata6,15.3,16.3,16.3,17.9,18.5,19.1,19.4,20,21.3,29,29.5,30.2
Gata6,14.9,16.1,16.7,17.8,18.9,19.9,19.4,20.3,21.3,29,30.6,30.5
Gata6,15,16.2,16.8,18.1,19,19.8,19.4,20.5,21.6,28.9,29.3,30.4
Hand2,22,23,23.5,15.2,15.9,16.3,22.7,23.2,24,32,32.7,32.5
Hand2,22.4,23.4,23.6,14.8,15.7,16.2,22.3,23.1,23.7,30.7,32,33
Hand2,22.7,23.4,24,15,15.5,16.3,22.8,23.3,24.2,31.3,32,33
TBP,23,23.9,23.5,23,22.6,24,23.1,23.8,24.1,22.8,23.8,24.1
TBP,22.3,23.2,24,21.6,23,23.9,22.4,23.2,24,21.8,23.2,23.9
TBP,22.9,23.6,24.2,22.9,23,24.3,22.8,23.1,24.2,22.6,23.2,24.1
Hnf4a,19.3,20.3,21,23,23.9,24,24.4,25,25.5,33.2,34.3,34.4
Hnf4a,18.6,19.9,20.9,22,23.1,24.1,24.1,24.8,25.8,32.8,34,34.1
Hnf4a,19.1,20,21.1,23.1,23.6,24.2,24.5,25.1,25.7,32.9,33.5,34.3
Klf4,31,32,32.6,31.5,32.2,32.9,31.8,32.6,32.7,14.9,15.4,16.2
Klf4,31.4,32,33,30.6,31.7,33,30.7,32.2,33,14.5,15.6,16.2
Klf4,31.9,32.4,33.2,31.3,32.2,33.5,31.5,32.1,33,14.9,15.6,16.6
Krt14,22.3,23.1,24.2,22.6,23,24,14.9,15.5,16,31.8,32.4,33
Krt14,22.3,23.3,24.1,22.1,23.3,24.1,13.9,15.2,16.3,31.3,32.6,32.4
Krt14,23.1,23.7,24.8,22.4,23.6,24.7,14.2,15.9,16.8,32.3,32.8,33.6
Mesp1,22.9,23.7,24.4,14.6,15.4,16.1,23,23.7,24.4,31.7,32.7,32.9
Mesp1,21.9,23.2,24.1,13.9,15,16,22.5,23.3,24,31,32.1,32.9
Mesp1,23,23.7,24.8,14.6,15.3,16,23,23.7,24.4,31.5,32.5,33.1
Mixl1,22.9,23.5,24.4,14.8,15.2,16.4,23,23.7,24.4,31.7,32.4,32.8
Mixl1,21.6,23,24,14.1,15.2,16,22.4,23.1,24,31.2,32.6,33
Mixl1,23.1,23.7,24.4,14.7,15.3,16.2,23,23.7,24.4,31.5,32.2,33
Nanog,32,32.9,33,32,32.6,32.9,32,32.4,32.7,15.2,16,16.3
Nanog,31.4,32,33,31.5,32.2,33,31.5,32,33,14.6,15.6,16.4
Nanog,31.8,32.4,33.2,31.4,32,33,31.5,32.2,33,15,15.9,16.7
Nestin,23,23.9,24.2,22.7,23.1,24.2,14.9,15.6,16,31.9,32.4,32.9
Nestin,22.4,23.3,24.2,22.1,23,24,14.3,15,16,31.3,32.6,32.4
Nestin,23,23.7,24.3,22.7,23.3,24.3,15,15.7,16.6,31.8,32.3,33.1
Neurog1,22,22.9,24,23,23.7,24.4,14.8,15.2,16.4,31.5,32.4,32.9
Neurog1,22.4,23,24,22.5,23.3,24,14.1,15.2,16,28.9,30.1,30.8
Neurog1,22,23,24.1,23,23.7,24.4,14.7,15.3,16.2,29.3,30.4,31.1
Pax6,22.4,23.1,24,23.31,24.01,24.71,14.9,15.6,16.3,31.5,32.1,33
Pax6,22.1,23,24,22.81,23.61,24.31,14.4,15.6,16.5,30.9,32.2,33
Pax6,23,23.7,24.1,23.31,24.01,24.71,15,15.6,16.7,31.5,32,33.1
Pdx1,17.7,18.5,19.1,21,22,22.9,23,23.6,24.4,32.2,32.8,33.2
Pdx1,17.2,18,19.2,20.3,21.5,22.2,21.6,22.9,23.8,30.5,31.7,32.4
Pdx1,17.5,18.1,19.5,21,21.6,22.7,22.4,23,24.1,31.5,32.1,33
Pou5F1,31.5,32.4,33,31.5,32.4,32.9,31.5,32.4,32.9,15.4,16.2,16.6
Pou5F1,30.9,32.1,33,30.9,32.1,33,30.9,32.1,33,14.9,15.9,16.7
Pou5F1,31.3,32.2,33.1,31.5,32.1,33.1,31.5,32.1,33.1,15.4,15.9,16.6
Sox17,15.1,15.9,16.3,22.5,23.3,23.3,22.9,23.7,24.5,29,29.6,30.1
Sox17,14.7,15.5,16.1,22.2,23.1,24,22.3,23.2,24.2,28.5,29.3,30.2
Sox17,14.9,15.5,16.5,22,23,24.1,23,23.5,24,29,29.8,30.4
Sox2,21,21.3,24.2,24,23.5,23.7,15,16,16.5,16,16.8,17.3
Sox2,20.5,20.9,23.7,20.7,23.2,20.5,14.4,15.6,16.5,15.4,16.6,17.5
Sox2,20.9,23.3,20.7,21.1,22.4,21.9,14.9,15.6,16.7,15.9,16.7,17.5
TBra,22,23.5,24,15,15.9,16.4,23.2,23.7,24.4,31.6,32.6,32.8
TBra,22.4,23.2,24.1,14.6,15.6,16.2,22.5,23,24,30.8,32.1,33
TBra,22.9,23.7,24.4,15,15.6,16.3,23,23.6,24.9,31.6,32.1,33.2
Tbx6,22.9,23.5,24.4,14.9,15.3,16.1,23,23.7,24.4,31.6,32.4,32.9
